3	1	4	2	2	4	3	1	4	1	4	4	3	3	2	2	3	3	2	4	3	1	3	1	2	1	3	4	4	4	1	4	1	3	3	1	1	3	2	2	1	4	2	2	1	2	4	2
-280	-363	1	3	-485	-44	2	4	-615	-104	2	4	98	-392	4	4	266	-363	1	2	76	-200	3	1	-470	355	4	1	-667	244	3	1	462	52	3	2	251	244	4	4	433	385	1	2	-251	355	2	1
-106	-377	2	3	-462	-104	3	2	-266	-237	2	3	295	-192	2	4	477	-355	4	2	113	-348	4	1	-667	59	4	2	-251	355	1	3	258	377	3	3	659	229	1	3	462	392	1	1	-630	215	3	1
-470	-89	3	1	-462	-385	4	4	-76	-348	2	1	295	-44	3	1	470	-229	1	4	288	-348	4	3	-243	340	2	3	-667	104	4	1	652	96	1	3	303	237	1	4	440	192	2	1	-243	89	3	1
-652	-229	3	4	-69	-244	1	2	-76	-377	1	1	448	-400	1	2	288	-67	4	4	462	-215	4	1	-243	215	4	3	-667	96	3	1	-425	44	2	3	630	215	2	3	462	377	2	4	98	348	3	1
-258	-229	1	3	-243	-44	4	1	-440	-385	2	1	98	-340	2	4	425	-229	3	2	295	-67	4	2	-425	229	3	2	-61	340	2	2	-266	340	3	1	280	252	1	3	622	237	1	4	433	192	4	1
-84	-400	1	4	-69	-200	3	3	-425	-400	4	4	433	-363	1	3	288	-229	3	4	433	-207	4	4	-630	96	3	3	-113	400	1	2	-113	192	2	4	98	348	2	4	622	89	2	4	258	59	4	1
-243	-207	1	1	-477	-377	4	1	258	-392	1	4	425	-252	4	3	98	-377	3	4	-243	340	1	3	-622	229	2	3	-266	104	2	1	106	200	4	3	295	200	3	3	470	237	3	4	-485	-89	2	1
-433	-200	3	2	-470	-67	1	4	622	-89	1	1	288	-392	2	2	470	-244	1	2	-425	252	4	2	-98	237	2	2	-69	377	3	4	251	340	3	4	622	67	4	2	448	237	4	3	-121	-244	2	1
-243	-355	2	4	-667	-67	2	4	243	-229	3	4	288	-67	2	3	652	-200	3	2	-630	200	4	4	-69	355	4	2	-462	81	4	1	652	229	3	1	106	392	1	1	440	348	1	2	-425	-340	1	1
-258	-89	1	1	-113	-400	4	2	-425	-340	3	2	607	-81	3	4	485	-237	1	3	-615	89	1	4	-295	252	2	1	-84	200	2	3	280	44	2	4	303	400	4	3	76	207	4	1	121	-215	3	1
-69	-377	1	2	-462	-385	3	2	-98	-192	2	2	106	-192	4	3	659	-207	3	4	-448	244	2	1	-622	207	3	3	-288	363	1	1	76	355	2	2	470	340	4	4	462	67	1	2	448	-215	4	1
-258	-400	3	1	-652	-244	1	3	-106	-237	1	4	251	-363	4	2	113	-192	3	1	-61	355	2	1	-113	192	1	4	-622	59	2	3	448	348	3	4	470	44	4	1	280	81	4	3	425	-340	2	1
-280	-363	1	3	-485	-44	2	4	-615	-104	2	4	98	-392	4	4	266	-363	1	2	76	-200	3	1	-470	355	4	1	-667	244	3	1	462	52	3	2	251	244	4	4	433	385	1	2	-251	355	2	2
-106	-377	2	3	-462	-104	3	2	-266	-237	2	3	295	-192	2	4	477	-355	4	2	113	-348	4	1	-667	59	4	2	-251	355	1	3	258	377	3	3	659	229	1	3	462	392	1	1	-630	215	3	2
